City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
672,Palu,ID,76.57,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
673,Rio Grande,BR,80.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
675,Palpa,PE,87.4,heavy intensity rain,-14.5336,-75.1856,Palpa Lines
677,Mpongwe,ZM,81.21,broken clouds,-13.5091,28.155,GCMF Office & Lodge
680,Maunabo,PR,86.65,scattered clouds,18.0072,-65.8993,Maunacaribe
682,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
685,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
687,Contramaestre,CU,85.98,scattered clouds,20.2978,-76.2414,Hotel Caribeño
690,Cozumel,MX,84.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
691,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
695,Abu Dhabi,AE,73.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
703,Contamana,PE,77.43,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
