City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Santa Rosa De Aguan,HN,2021-12-06 17:41:08,15.95,-85.7167,82.42,77,2,10.25,clear sky
196,Ponta Do Sol,PT,2021-12-06 17:41:09,32.6667,-17.1,66.13,61,8,9.22,clear sky
197,Manggar,ID,2021-12-06 17:41:09,-2.8833,108.2667,79.36,87,98,10.13,overcast clouds
198,Port Said,EG,2021-12-06 17:41:10,31.2565,32.2841,64.38,72,0,6.91,clear sky
199,Caceres,ES,2021-12-06 17:41:10,39.522,-6.3748,48.11,78,48,5.55,scattered clouds
200,Gidole,ET,2021-12-06 17:41:11,5.65,37.3667,66.63,32,60,3.24,broken clouds
201,Korla,CN,2021-12-06 17:41:11,41.7597,86.1469,32.59,41,100,3.96,overcast clouds
202,Bartica,GY,2021-12-06 17:41:12,6.4,-58.6167,75.52,95,95,3.29,light rain
203,Hofn,IS,2021-12-06 17:41:12,64.2539,-15.2082,37.42,87,90,11.5,overcast clouds
204,Zhanaozen,KZ,2021-12-06 17:41:12,43.3,52.8,41.11,55,6,3.69,clear sky
205,Czarnkow,PL,2021-12-06 17:41:12,52.9021,16.5641,31.73,97,97,4.34,overcast clouds
206,Longyearbyen,SJ,2021-12-06 17:34:57,78.2186,15.6401,33.64,75,75,12.66,broken clouds
207,Fuxin,CN,2021-12-06 17:41:13,42.0156,121.6589,21.25,86,5,1.83,clear sky
208,Gumdag,TM,2021-12-06 17:41:13,39.2061,54.5906,48.92,87,2,8.25,clear sky
209,Vila Franca Do Campo,PT,2021-12-06 17:41:13,37.7167,-25.4333,67.19,76,97,6.44,overcast clouds
210,Bonthe,SL,2021-12-06 17:41:14,7.5264,-12.505,82.26,75,82,8.61,broken clouds
211,Flinders,AU,2021-12-06 17:41:14,-34.5833,150.8552,66.38,82,90,6.38,overcast clouds
212,Sawang Daen Din,TH,2021-12-06 17:41:15,17.4753,103.4575,59.18,90,6,7.05,clear sky
213,Hasaki,JP,2021-12-06 17:41:15,35.7333,140.8333,45.0,73,81,14.03,moderate rain
214,Iskateley,RU,2021-12-06 17:34:23,67.6803,53.1512,20.89,94,100,10.4,overcast clouds
215,Mwanza,TZ,2021-12-06 17:41:16,-2.5167,32.9,77.05,69,20,9.22,few clouds
216,Oussouye,SN,2021-12-06 17:35:21,12.485,-16.5469,93.38,44,5,8.25,clear sky
217,Sanok,PL,2021-12-06 17:41:16,49.5557,22.2056,34.27,100,100,4.43,light snow
218,Narsaq,GL,2021-12-06 17:41:17,60.9167,-46.05,19.62,71,97,15.99,overcast clouds
219,Taltal,CL,2021-12-06 17:41:17,-25.4,-70.4833,67.55,67,87,7.45,overcast clouds
220,Mirnyy,RU,2021-12-06 17:41:17,62.5353,113.9611,-12.77,69,96,8.7,overcast clouds
221,Mackay,AU,2021-12-06 17:31:24,-21.15,149.2,78.78,73,40,12.66,scattered clouds
222,La Huacana,MX,2021-12-06 17:41:18,18.9667,-101.8167,85.33,41,76,4.12,broken clouds
223,Culebra,PR,2021-12-06 17:41:18,18.303,-65.301,86.67,73,10,18.07,clear sky
224,Phan Thiet,VN,2021-12-06 17:39:55,10.9333,108.1,71.71,89,70,5.3,broken clouds
225,Sorong,ID,2021-12-06 17:38:02,-0.8833,131.25,81.01,82,82,3.96,broken clouds
226,Constitucion,CL,2021-12-06 17:41:19,-35.3333,-72.4167,64.6,70,59,12.46,broken clouds
227,Faanui,PF,2021-12-06 17:41:19,-16.4833,-151.75,80.94,78,24,17.43,moderate rain
228,Old Saybrook,US,2021-12-06 17:41:19,41.2918,-72.3762,58.14,88,90,3.0,overcast clouds
229,Thaba-Tseka,LS,2021-12-06 17:41:20,-29.522,28.6084,52.43,59,3,5.41,clear sky
230,Mecca,SA,2021-12-06 17:41:20,21.4267,39.8261,77.67,65,0,4.68,clear sky
231,Mount Gambier,AU,2021-12-06 17:34:48,-37.8333,140.7667,53.51,87,90,12.66,overcast clouds
232,Tecpan,GT,2021-12-06 17:39:38,14.7623,-90.9947,73.45,46,1,4.76,clear sky
233,Arman,RU,2021-12-06 17:41:21,59.7,150.1667,0.79,73,100,8.93,overcast clouds
234,Lyambir,RU,2021-12-06 17:41:21,54.2817,45.1249,25.48,92,99,6.11,overcast clouds
235,Visby,SE,2021-12-06 17:41:21,57.6409,18.296,21.42,93,75,3.44,broken clouds
236,Sakakah,SA,2021-12-06 17:41:22,29.9697,40.2064,62.17,35,28,8.43,scattered clouds
237,Monterey,US,2021-12-06 17:41:22,36.2505,-121.2516,55.11,35,72,1.48,broken clouds
238,Jumla,NP,2021-12-06 17:41:22,29.2747,82.1838,40.41,84,94,3.04,overcast clouds
239,Dawlatabad,AF,2021-12-06 17:41:23,36.4141,64.9053,53.92,46,100,5.68,overcast clouds
240,Filadelfia,US,2021-12-06 17:39:03,39.9523,-75.1638,64.11,78,75,8.99,broken clouds
241,Jiwani,PK,2021-12-06 17:41:23,25.05,61.7417,75.56,54,0,7.56,clear sky
242,Pemangkat,ID,2021-12-06 17:34:13,1.1667,108.9667,78.91,83,100,4.74,light rain
243,Abu Samrah,SY,2021-12-06 17:41:23,35.3029,37.1841,55.06,47,33,8.23,scattered clouds
244,Whitehaven,GB,2021-12-06 17:41:24,54.549,-3.5841,40.66,87,59,23.15,broken clouds
245,Itarema,BR,2021-12-06 17:34:42,-2.9248,-39.9167,87.01,62,72,20.62,broken clouds
246,Kabanjahe,ID,2021-12-06 17:41:24,3.1001,98.4908,64.35,94,91,0.92,overcast clouds
247,Vestmanna,FO,2021-12-06 17:35:12,62.1564,-7.1664,41.92,81,90,23.02,overcast clouds
248,Grand Gaube,MU,2021-12-06 17:35:36,-20.0064,57.6608,79.38,69,0,5.99,clear sky
249,Ereymentau,KZ,2021-12-06 17:41:25,51.6199,73.1033,29.97,91,100,15.77,overcast clouds
250,Cabo San Lucas,MX,2021-12-06 17:39:26,22.8909,-109.9124,81.05,61,20,6.91,few clouds
251,Soke,ML,2021-12-06 17:41:25,13.598,-5.9386,84.92,11,19,9.1,few clouds
252,Berlevag,NO,2021-12-06 17:41:25,70.8578,29.0864,28.4,93,75,14.97,light shower snow
253,Mayma,RU,2021-12-06 17:41:26,52.0197,85.9114,23.27,86,99,4.7,overcast clouds
254,Okitipupa,NG,2021-12-06 17:41:26,6.5047,4.7839,80.58,81,100,5.28,overcast clouds
255,Tukrah,LY,2021-12-06 17:41:26,32.5341,20.5791,62.44,44,0,21.47,clear sky
256,Mnogovershinnyy,RU,2021-12-06 17:41:27,53.9353,139.9242,13.77,92,96,21.79,light snow
257,Kiruna,SE,2021-12-06 17:41:08,67.8557,20.2251,-28.28,99,28,2.24,scattered clouds
258,Ignacio De La Llave,MX,2021-12-06 17:41:27,18.7167,-95.9833,83.19,66,7,3.91,clear sky
